PID,SyscallID,Syscall,RDI,RSI,RDX,R10,R8,R9
1692,0,read,3,511738456,832,0,524288,2886578016
1692,17,pread64,3,511738192,48,792,524288,511738520
1692,17,pread64,3,511738112,68,840,524288,511738520
1692,262,newfstatat,3,2892687853,511738112,4096,2886578016,2892457248
1692,9,mmap,0,136240,1,2050,3,0
1692,9,mmap,2884304896,65536,5,2066,3,28672
1692,9,mmap,2884370432,20480,1,2066,3,94208
1692,9,mmap,2884390912,8192,3,2066,3,110592
1692,9,mmap,2884399104,13360,3,50,4294967295,0
1692,3,close,3,4,1,1410690292,3221258242,48
1692,257,openat,4294967196,2886579408,524288,0,524288,2886579408
1692,0,read,3,511738424,832,0,524288,2886579408
1692,262,newfstatat,3,2892687853,511738080,4096,2886579408,2892458560
1692,9,mmap,0,24848,1,2050,3,0
1692,9,mmap,2884255744,8192,5,2066,3,8192
1692,9,mmap,2884263936,4096,1,2066,3,16384
1692,9,mmap,2884268032,8192,3,2066,3,16384
1692,3,close,3,4,1,1410719076,3221258242,48
1692,257,openat,4294967196,2886580800,524288,0,524288,2886580800
1692,0,read,3,511738392,832,0,524288,2886580800
1692,262,newfstatat,3,2892687853,511738048,4096,2886580800,2892459872
1692,9,mmap,0,44032,1,2050,3,0
1692,9,mmap,2884214784,16384,5,2066,3,12288
1692,9,mmap,2884231168,8192,1,2066,3,28672
1692,9,mmap,2884239360,8192,3,2066,3,32768
1692,3,close,3,4,1,1410764132,3221258242,48
1692,257,openat,4294967196,2886582112,524288,0,524288,2886582112
1692,0,read,3,511738360,832,0,524288,2886582112
1692,262,newfstatat,3,2892687853,511738016,4096,2886582112,2892459872
1692,9,mmap,0,8192,3,34,4294967295,0
1692,9,mmap,0,172296,1,2050,3,0
1692,9,mmap,2884030464,110592,5,2066,3,12288
1692,9,mmap,2884141056,45056,1,2066,3,122880
1692,9,mmap,2884186112,8192,3,2066,3,163840
1692,3,close,3,0,0,1410948452,3221225474,32
1692,257,openat,4294967196,2884195568,524288,0,524288,2884195568
1692,0,read,3,511738328,832,0,524288,2884195568
1692,262,newfstatat,3,2892687853,511737984,4096,2884195568,2892459872
1692,9,mmap,0,835640,1,2050,3,0
1692,9,mmap,2883219456,720896,5,2066,3,40960
1692,9,mmap,2883940352,69632,1,2066,3,761856
1692,9,mmap,2884009984,8192,3,2066,3,827392
1692,3,close,3,0,0,1411788132,3221225474,32
1692,257,openat,4294967196,2884196880,524288,0,524288,2884196880
1692,0,read,3,511738296,832,0,524288,2884196880
1692,262,newfstatat,3,2892687853,511737952,4096,2884196880,2892459872
1692,9,mmap,0,127072,1,2050,3,0
1692,10,mprotect,2883055616,114688,0,1,3,0
1692,9,mmap,2883055616,102400,5,2066,3,8192
1692,9,mmap,2883158016,8192,1,2066,3,110592
1692,9,mmap,2883170304,8192,3,2066,3,118784
1692,3,close,3,0,0,1411919204,3221225474,32
1692,257,openat,4294967196,2884198192,524288,0,524288,2884198192
1692,0,read,3,511738264,832,0,524288,2884198192
1692,262,newfstatat,3,2892687853,511737920,4096,2884198192,2892459872
1692,9,mmap,0,41016,1,2050,3,0
1692,9,mmap,2883014656,16384,5,2066,3,12288
1692,9,mmap,2883031040,8192,1,2066,3,28672
1692,9,mmap,2883039232,8192,3,2066,3,32768
1692,3,close,3,0,0,1411964260,3221225474,32
1692,257,openat,4294967196,2884199504,524288,0,524288,2884199504
1692,0,read,3,511738232,832,0,524288,2884199504
1692,262,newfstatat,3,2892687853,511737888,4096,2884199504,2892459872
1692,9,mmap,0,1188000,1,2050,3,0
1692,9,mmap,2881859584,876544,5,2066,3,49152
1692,9,mmap,2882736128,233472,1,2066,3,925696
1692,9,mmap,2882969600,28672,3,2066,3,1155072
1692,9,mmap,2882998272,160,3,50,4294967295,0
1692,3,close,3,0,0,1413156196,3221225474,32
1692,257,openat,4294967196,2884201216,524288,0,524288,2884201216
1692,0,read,3,511738168,832,0,524288,2884201216
1692,262,newfstatat,3,2892687853,511737824,4096,2884201216,2888374832
1692,9,mmap,0,8192,3,34,4294967295,0
1692,9,mmap,0,615184,1,2050,3,0
1692,9,mmap,2881191936,434176,5,2066,3,8192
1692,9,mmap,2881626112,167936,1,2066,3,442368
1692,9,mmap,2881794048,8192,3,2066,3,606208
1692,3,close,3,0,0,1413782884,3221225474,32
1692,257,openat,4294967196,2881802384,524288,0,524288,2881802384
1692,0,read,3,511738136,832,0,524288,2881802384
1692,262,newfstatat,3,2892687853,511737792,4096,2881802384,2888376144
1692,9,mmap,0,192688,1,2050,3,0
1692,10,mprotect,2881003520,167936,0,1,3,0
1692,9,mmap,2881003520,110592,5,2066,3,16384
1692,9,mmap,2881114112,53248,1,2066,3,126976
1692,9,mmap,2881171456,8192,3,2066,3,180224
1692,9,mmap,2881179648,176,3,50,4294967295,0
1692,3,close,3,0,0,1413979492,3221225474,32
1692,257,openat,4294967196,2881803696,524288,0,524288,2881803696
1692,0,read,3,511738104,832,0,524288,2881803696
1692,262,newfstatat,3,2892687853,511737760,4096,2881803696,2888376144
1692,9,mmap,0,58344,1,2050,3,0
1692,9,mmap,2880937984,28672,5,2066,3,12288
1692,9,mmap,2880966656,12288,1,2066,3,40960
